Name,Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,close ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
Adani,04-Sep-25,₹ 771.00,₹ 775.25,₹ 757.00,₹ 763.70,₹ 758.35,"₹ 1,090.95",₹ 588.00,514778.00,"₹ 39,33,64,221.15",18150.00
Adani,03-Sep-25,₹ 768.90,₹ 768.90,₹ 760.10,₹ 763.05,₹ 763.70,"₹ 1,090.95",₹ 588.00,565805.00,"₹ 43,20,57,586.20",20243.00
Adani,02-Sep-25,₹ 772.90,₹ 772.95,₹ 761.20,₹ 766.65,₹ 763.05,"₹ 1,090.95",₹ 588.00,567133.00,"₹ 43,51,42,857.35",23215.00
Adani,01-Sep-25,₹ 770.15,₹ 777.60,₹ 763.30,₹ 764.15,₹ 766.65,"₹ 1,090.95",₹ 588.00,891853.00,"₹ 68,45,32,035.90",25441.00
Adani,29-Aug-25,₹ 775.40,₹ 776.40,₹ 759.25,₹ 770.95,₹ 764.15,"₹ 1,090.95",₹ 588.00,1341814.00,"₹ 1,02,81,63,538.20",46077.00
Adani,28-Aug-25,₹ 786.00,₹ 793.00,₹ 767.30,₹ 788.65,₹ 770.95,"₹ 1,090.95",₹ 588.00,891046.00,"₹ 69,27,14,123.60",32739.00
Adani,26-Aug-25,₹ 801.10,₹ 803.45,₹ 787.75,₹ 805.75,₹ 788.65,"₹ 1,090.95",₹ 588.00,501821.00,"₹ 39,76,20,777.85",18386.00
Adani,25-Aug-25,₹ 805.00,₹ 807.85,₹ 795.05,₹ 800.15,₹ 805.75,"₹ 1,090.95",₹ 588.00,718727.00,"₹ 57,68,00,029.10",21355.00
Adani,22-Aug-25,₹ 815.15,₹ 816.00,₹ 795.20,₹ 815.15,₹ 800.15,"₹ 1,115.50",₹ 588.00,537046.00,"₹ 43,22,21,440.20",19716.00
Adani,21-Aug-25,₹ 825.00,₹ 829.20,₹ 812.00,₹ 824.20,₹ 815.15,"₹ 1,115.50",₹ 588.00,558969.00,"₹ 45,81,55,623.70",15269.00
Adani,20-Aug-25,₹ 828.20,₹ 831.65,₹ 822.20,₹ 828.20,₹ 824.20,"₹ 1,115.50",₹ 588.00,381123.00,"₹ 31,47,90,911.45",12990.00
Adani,19-Aug-25,₹ 818.75,₹ 831.90,₹ 813.05,₹ 818.75,₹ 828.20,"₹ 1,115.50",₹ 588.00,967227.00,"₹ 79,70,69,866.75",25430.00
