Name,Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,close ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
HDFC Bank,04-Sep-25,960.2,965.7,956.25,954.45,961.25,"2,037.70",940,"1,75,97,657","16,91,73,00,954.60","2,12,281"
HDFC Bank,03-Sep-25,945,956.3,940,944.5,954.45,"2,037.70",940,"1,60,83,481","15,24,17,46,460.65","2,88,240"
HDFC Bank,02-Sep-25,951,954.8,944,950.6,944.5,"2,037.70",944,"1,41,96,320","13,46,94,17,784.70","3,43,637"
HDFC Bank,01-Sep-25,949.6,957.45,946.35,951.6,950.6,"2,037.70",946.35,"2,01,78,344","19,18,19,19,082.15","4,10,933"
HDFC Bank,29-Aug-25,954,963.3,950.1,957.8,951.6,"2,037.70",950.1,"1,48,23,813","14,16,03,14,228.10","2,60,839"
HDFC Bank,28-Aug-25,967,972.2,955,973.4,957.8,"2,037.70",955,"2,54,38,255","24,47,38,86,027.80","3,77,835"
HDFC Bank,26-Aug-25,979.5,985.7,968,"1,964.10",973.4,"2,037.70",968,"1,69,17,731","16,46,54,10,030.90","2,96,302"
HDFC Bank,25-Aug-25,"1,960.20","1,977.40","1,957.00","1,964.60","1,964.10","2,037.70","1,613.00","87,59,022","17,23,13,88,424.40","2,17,503"
HDFC Bank,22-Aug-25,"1,989.90","1,996.00","1,957.10","1,991.20","1,964.60","2,037.70","1,613.00","99,16,751","19,52,27,14,269.10","2,53,318"
HDFC Bank,21-Aug-25,"1,997.50","1,997.50","1,983.20","1,988.20","1,991.20","2,037.70","1,613.00","62,19,925","12,38,77,22,464.00","1,60,599"
HDFC Bank,20-Aug-25,"1,987.00","1,992.00","1,979.00","1,991.10","1,988.20","2,037.70","1,613.00","49,75,114","9,87,62,63,155.30","1,73,424"
HDFC Bank,19-Aug-25,"1,998.30","2,006.10","1,986.70","2,003.60","1,991.10","2,037.70","1,613.00","61,76,219","12,32,45,74,114.90","1,70,899"
HDFC Bank,18-Aug-25,"2,010.00","2,026.60","1,995.60","1,991.10","2,003.60","2,037.70","1,613.00","96,42,398","19,36,89,89,917.90","2,20,027"
